"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Rajawat P.; Mittal M.; Rana S.","Rajawat, Pratibha (59914519500); Mittal, Mandeep (55050909600); Rana, Saurabh (58587276700)","59914519500; 55050909600; 58587276700","A Comparative Analysis of 3Pl Logistics for Deteriorating Products: A Cnn Approach to Demand and Carbon Emission Prediction","2025","2025 International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics, IC3ECSBHI 2025","","","","670","675","0","10.1109/IC3ECSBHI63591.2025.10990529","https://www.scopus.com/pages/publications/105008422964?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105008422964"
"OULED LAGHZAL S.; El Ouadi A.","OULED LAGHZAL, Sara (60515689200); El Ouadi, Abdelmajid (57223274717)","60515689200; 57223274717","Managerial Drivers and Performance Outcomes of AI Adoption in Automotive Manufacturing","2025","International Journal of Advanced Computer Science and Applications","16","11","","915","922","0","10.14569/IJACSA.2025.0161188","https://www.scopus.com/pages/publications/105026656175?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026656175"
"Challa V.N.S.K.; Thodeti K.K.; Syed S.M.; Padmalatha P.S.V.","Challa, Venkata Naga Siva Kumar (58295343200); Thodeti, Kiran Kumar (59786024800); Syed, Shaikh Mahaboob (58764937900); Padmalatha, P.S.V. (59791925300)","58295343200; 59786024800; 58764937900; 59791925300","A Structural Treatise on the Effects of Explainable AI and Big Data Technologies on Supply Chain Management","2025","Explainable AI and Blockchain for Secure and Agile Supply Chains: Enhancing Transparency, Traceability, and Accountability","","","","36","46","1","10.1201/9781003497363-3","https://www.scopus.com/pages/publications/105004517296?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105004517296"
"Kantasaard A.; Bekrar A.; Aitelcadi A.; Saliez Y.","Kantasaard, Anirut (57214692442); Bekrar, Abdelghani (23974300900); Aitelcadi, Abdessamad (57214675494); Saliez, Yves (57191707668)","57214692442; 23974300900; 57214675494; 57191707668","Artificial intelligence for forecasting in supply chain management: A case study o White Sugar consumption rate in Thailand","2019","IFAC-PapersOnLine","52","13","","725","730","23","10.1016/j.ifacol.2019.11.201","https://www.scopus.com/pages/publications/85070645503?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85070645503"
"Tawde P.; Jaswal S.","Tawde, Prachi (57200200497); Jaswal, Shree (56572374700)","57200200497; 56572374700","Optimization of SCM process using evolutionary algorithm on SVR","2017","Proceedings of the 2017 International Conference On Big Data Analytics and Computational Intelligence, ICBDACI 2017","","","8070817","103","106","4","10.1109/ICBDACI.2017.8070817","https://www.scopus.com/pages/publications/85040189645?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85040189645"
"Sharma A.; Kumar R.; Kumar D.; Pandey P.S.; Awasthi S.","Sharma, Ayushi (58245837000); Kumar, Rakesh (58603878800); Kumar, Deepak (57220768578); Pandey, Purnendu Shekhar (57209610452); Awasthi, Shashank (57190968699)","58245837000; 58603878800; 57220768578; 57209610452; 57190968699","Simplification Process in Supply Chain Management Through Artificial Intelligence","2025","4th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2025 - Proceedings","","","","772","777","2","10.1109/ICSADL65848.2025.10933240","https://www.scopus.com/pages/publications/105002447719?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105002447719"
"Zhu T.; Ali S.I.","Zhu, Tiansheng (60125752800); Ali, Syed Imran (57216826701)","60125752800; 57216826701","Artificial Intelligence to Achieve Retail Supply Chain Resilience: A Systematic Review And Agenda For Future Research","2025","Transformative Impact of AI in Supply Chain Management","","","","25","64","0","10.4018/979-8-3373-0923-1.ch002","https://www.scopus.com/pages/publications/105017807107?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105017807107"
"Arora M.; Anand N.; Kaveri R.P.","Arora, Madhu (57216741295); Anand, Neeraj (56110996500); Kaveri, R. Parag (56132401400)","57216741295; 56110996500; 56132401400","Industry 4.0 and AI transformation in food SCM","2025","Impact of Generative AI on Food Supply Chain Management","","","","1","20","1","10.4018/979-8-3693-9856-2.ch001","https://www.scopus.com/pages/publications/105012916649?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105012916649"
"Daios A.; Kladovasilakis N.; Kelemis A.; Kostavelis I.","Daios, Adamos (58879217500); Kladovasilakis, Nikolaos (57200534949); Kelemis, Athanasios (57213765437); Kostavelis, Ioannis (35484641300)","58879217500; 57200534949; 57213765437; 35484641300","AI Applications in Supply Chain Management: A Survey","2025","Applied Sciences (Switzerland)","15","5","2775","","","46","10.3390/app15052775","https://www.scopus.com/pages/publications/86000601293?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000601293"
"Fatorachian H.; Pawar K.","Fatorachian, Hajar (57200375677); Pawar, Kulwant (7003327784)","57200375677; 7003327784","Sustainable Cold Chain Management: An Evaluation of Predictive Waste Management Models","2025","Applied Sciences (Switzerland)","15","2","770","","","17","10.3390/app15020770","https://www.scopus.com/pages/publications/85215706202?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85215706202"
"Ahlawat J.; Akhmetshin E.; Nadaf A.B.; Thangam A.; Pandiaraj V.; Mahapure P.S.","Ahlawat, Jagbir (59369938500); Akhmetshin, Elvir (56027651200); Nadaf, Akabarsaheb B (58511941900); Thangam, A. (14632691100); Pandiaraj, V. (59236273400); Mahapure, P.S. (59012596400)","59369938500; 56027651200; 58511941900; 14632691100; 59236273400; 59012596400","Analysing Optimising Time-Series Data for Demand Forecasting and Production Planning Using Bi-RNN","2024","2nd IEEE International Conference on Data Science and Network Security, ICDSNS 2024","","","","","","5","10.1109/ICDSNS62112.2024.10690959","https://www.scopus.com/pages/publications/85206587367?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85206587367"
"Ramamurthy P.","Ramamurthy, Pugalenthi (55825737200)","55825737200","Harnessing Artificial Intelligence for Sustainable Supply Chain Management","2026","The Role of AI in Sustainable Supply Chain Management","","","","279","306","0","10.4018/979-8-3373-6645-6.ch009","https://www.scopus.com/pages/publications/105033813504?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105033813504"
"Nithin O.V.S.; Shashwath S.H.; Gothe S.S.; Singh A.K.; Chandra A.; Vijaykumar M.N.","Nithin, Obbu Venkata Sai (60422878800); Shashwath, S.H. (60422730200); Gothe, Sourabh Sanjay (60421879100); Singh, Abhinav Kumar (60422878900); Chandra, Aviral (60422873000); Vijaykumar, M.N. (60422156600)","60422878800; 60422730200; 60421879100; 60422878900; 60422873000; 60422156600","Predictive Disruption Management in CPG(Consumer Packaged Goods) Supply Chains Using AI and IoT Integration","2025","2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions, CSITSS 2025","","","","","","0","10.1109/CSITSS67709.2025.11294222","https://www.scopus.com/pages/publications/105031352099?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105031352099"
"Deshpande M.; Sahasrabudhe V.; Agarwal P.; Zodpe A.","Deshpande, Mihir (58192666800); Sahasrabudhe, Vibhav (60119973600); Agarwal, Piyush (60119999900); Zodpe, Atharva (60119973700)","58192666800; 60119973600; 60119999900; 60119973700","Deep Reinforcement Learning for Supply Chain Optimization: A DQN and LSTM-Based Approach","2025","International Conference on Emerging Trends in Engineering and Technology, ICETET","","","","","","0","10.1109/ICETETSIP64213.2025.11156380","https://www.scopus.com/pages/publications/105017419982?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105017419982"
"Hasan M.Z.; Hussain M.Z.; Umair S.; Waqas U.","Hasan, Muhammad Zulkifl (57208178055); Hussain, Muhammad Zunnurain (57202836473); Umair, Sonia (57212602578); Waqas, Umair (57188760558)","57208178055; 57202836473; 57212602578; 57188760558","Understanding Artificial Intelligence in Supply Chain and Innovation Performance","2024","Human Perspectives of Industry 4.0 Organizations: Reviewing Sustainable Performance","","","","131","154","4","10.1201/9781032616810-7","https://www.scopus.com/pages/publications/85202125927?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85202125927"
"Wijedasa S.; Gnanathilake K.; Alahakoon T.; Warunika R.; Krishara J.; Tissera W.","Wijedasa, Sithum (60076043600); Gnanathilake, Kavindya (60076420700); Alahakoon, Tharindu (60076328300); Warunika, Rashini (60076420800); Krishara, Jenny (57461207200); Tissera, Wishalya (58085862700)","60076043600; 60076420700; 60076328300; 60076420800; 57461207200; 58085862700","Enhancing the Performance of Supply Chain using Artificial Intelligence","2025","2025 IEEE International Conference on Automatic Control and Intelligent Systems, I2CACIS 2025 - Proceedings","","","","146","151","0","10.1109/I2CACIS65476.2025.11101654","https://www.scopus.com/pages/publications/105014422965?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105014422965"
"Samuels A.","Samuels, Alexander (59536943900)","59536943900","Digital transformation in supply chains: improving resilience and sustainability through AI, Blockchain, and IoT","2025","Frontiers in Sustainability","6","","1584580","","","10","10.3389/frsus.2025.1584580","https://www.scopus.com/pages/publications/105025595644?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025595644"
"Ikhar C.; Sharma D.S.; Gahane S.; Anawade P.","Ikhar, Chetan (60075884300); Sharma, Deepak S. (58601890500); Gahane, Shailesh (58654491400); Anawade, Pankajkumar (59259557300)","60075884300; 58601890500; 58654491400; 59259557300","Transforming Supply Chains with Artificial Intelligence: A Strategic Approach","2025","Lecture Notes in Networks and Systems","1384 LNNS","","","25","32","0","10.1007/978-981-96-5751-3_3","https://www.scopus.com/pages/publications/105014365324?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105014365324"
"Arnawtee M.M.M.; Zaiter M.F.Z.","Arnawtee, Mohammed Mahde Mahmood (59702790500); Zaiter, Murooj Fadhil Zaiter (59703564200)","59702790500; 59703564200","An Overview of Optimized Inventory Management Models in Technology Companies: Historical Developments, Practical Applications, and AI-Driven Approaches","2024","ACAI 2024 - 2024 7th International Conference on Algorithms, Computing and Artificial Intelligence","","","","","","0","10.1109/ACAI63924.2024.10899588","https://www.scopus.com/pages/publications/105000780133?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105000780133"
"Hossain K.M.S.; Ahad M.A.; Akhtar N.; Nabil A.R.; Amin M.R.; Sarker M.T.; Karim H.B.A.","Hossain, Kazi Md Shahadat (60083661200); Ahad, Md Abdul (59942589900); Akhtar, Nahin (57206492397); Nabil, Ashrafur Rahman (60083782800); Amin, Md Ruhul (57217788251); Sarker, Md Tanjil (57816395100); Karim, Hezerul Bin Abdul (60220413000)","60083661200; 59942589900; 57206492397; 60083782800; 57217788251; 57816395100; 60220413000","AI-Driven Supply Chain Optimization: A Hybrid CNN-BiLSTM and Financial Strategy Framework","2025","2025 Multimedia University Engineering Conference, MECON 2025","","","","","","0","10.1109/MECON67253.2025.11276923","https://www.scopus.com/pages/publications/105030453294?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105030453294"
"Vishwakarma L.P.; Singh R.K.","Vishwakarma, Laxmi Pandit (57779270500); Singh, Rajesh Kumar (60007620900)","57779270500; 60007620900","Deep Learning Applications in Inventory Management","2025","The Palgrave Handbook of Supply Chain and Disruptive Technologies","","","","287","308","0","10.1007/978-3-031-90210-9_11","https://www.scopus.com/pages/publications/105031034723?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105031034723"
"Dalal S.; Lilhore U.K.; Simaiya S.; Radulescu M.; Belascu L.","Dalal, Surjeet (57190939535); Lilhore, Umesh Kumar (55445409800); Simaiya, Sarita (57216622514); Radulescu, Magdalena (55540437700); Belascu, Lucian (35368116100)","57190939535; 55445409800; 57216622514; 55540437700; 35368116100","Improving efficiency and sustainability via supply chain optimization through CNNs and BiLSTM","2024","Technological Forecasting and Social Change","209","","123841","","","53","10.1016/j.techfore.2024.123841","https://www.scopus.com/pages/publications/85207284005?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85207284005"
"Sharma P.; Kamthan V.; Singh A.; Sheoran C.","Sharma, Prayas (56105106000); Kamthan, Vivek (59968117800); Singh, Anirudh (59967619200); Sheoran, Chanderkant (59967866500)","56105106000; 59968117800; 59967619200; 59967866500","Optimizing supply chain of aviation arm of defence service: harnessing predictive analytics for enhanced spare forecasting accuracy","2025","International Journal of System Assurance Engineering and Management","16","9","","3090","3125","1","10.1007/s13198-025-02860-y","https://www.scopus.com/pages/publications/105009363803?origin=resultslist","Article","Final","","Scopus","2-s2.0-105009363803"
"Kartsan I.N.; Zhukov A.O.; Nerush A.V.","Kartsan, Igor N. (56825941300); Zhukov, Alexander O. (55943600000); Nerush, Alyona V. (59647447900)","56825941300; 55943600000; 59647447900","Digitalization and optimization of dual use goods production using artificial intelligence","2025","Proceedings of SPIE - The International Society for Optical Engineering","13803","","138030Q","","","0","10.1117/12.3076575","https://www.scopus.com/pages/publications/105022443952?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105022443952"
"Gutta L.M.; Dhamodharan B.; Dutta P.K.; Whig P.","Gutta, Leela Manush (59333388500); Dhamodharan, Balaji (59320237000); Dutta, Pushan Kumar (7202355384); Whig, Pawan (55878271900)","59333388500; 59320237000; 7202355384; 55878271900","AI-infused quantum machine learning for enhanced supply chain forecasting","2024","Quantum Computing and Supply Chain Management: A New Era of Optimization","","","","48","63","24","10.4018/979-8-3693-4107-0.ch003","https://www.scopus.com/pages/publications/85204335431?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85204335431"
"Xu J.; Bo L.","Xu, Jie (59495716700); Bo, Lixing (59495716800)","59495716700; 59495716800","Optimizing Supply Chain Resilience Using Advanced Analytics and Computational Intelligence Techniques","2025","IEEE Access","13","","","18063","18078","8","10.1109/ACCESS.2024.3523470","https://www.scopus.com/pages/publications/85213719421?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85213719421"
"Amado Mateus M.","Amado Mateus, Marelby (57310245000)","57310245000","The duality of artificial intelligence in supply chain sustainability: a narrative review; [La dualidad de la inteligencia artificial en la sostenibilidad de las cadenas de suministro: una revisión narrativa]","2024","European Public and Social Innovation Review","9","","","","","4","10.31637/epsir-2024-552","https://www.scopus.com/pages/publications/85209805457?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85209805457"
"Ameur Y.; Kraiem M.","Ameur, Yulliwas (57907394000); Kraiem, Malek (60368287600)","57907394000; 60368287600","Artificial Intelligence and Machine Learning: Revolutionizing Supply Chain Security","2026","Signals and Communication Technology","Part F1412","","","183","201","0","10.1007/978-3-032-11119-7_8","https://www.scopus.com/pages/publications/105029192515?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105029192515"
"Danach K.; Dirani A.E.; Rkein H.","Danach, Kassem (56525245300); Dirani, Ali El (57128123800); Rkein, Hassan (57210677751)","56525245300; 57128123800; 57210677751","Revolutionizing Supply Chain Management With AI: A Path to Efficiency and Sustainability","2024","IEEE Access","12","","","188245","188255","26","10.1109/ACCESS.2024.3474531","https://www.scopus.com/pages/publications/85207154631?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85207154631"
"Köse Ş.G.; Kazancoglu I.; Kazancoglu Y.","Köse, Şirin Gizem (57193494819); Kazancoglu, Ipek (36598380300); Kazancoglu, Yigit (15848066400)","57193494819; 36598380300; 15848066400","The Role of Artificial Intelligence in Sustainable Food Retailing: A Pathway to Reducing Waste and Enhancing Efficiency","2026","Mechanisms and Machine Science","185","","","503","513","1","10.1007/978-3-031-95963-9_36","https://www.scopus.com/pages/publications/105020238414?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020238414"
"Lee H.L.; Chen Z.; Qi Y.; Shen Z.-J.M.","Lee, Hau L. (58952450700); Chen, Zhe (60235280300); Qi, Yongzhi (57411022300); Shen, Zuo-Jun Max (8947426700)","58952450700; 60235280300; 57411022300; 8947426700","AI-Driven Supply Chain Transformation","2026","Springer Series in Supply Chain Management","27","","","223","244","0","10.1007/978-3-032-07054-8_16","https://www.scopus.com/pages/publications/105024598703?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105024598703"
"Gao Y.; Gao H.; Xiao H.; Yao F.","Gao, Ye (57681896200); Gao, Hongwei (59157733400); Xiao, Han (57681056200); Yao, Fanjun (57211239248)","57681896200; 59157733400; 57681056200; 57211239248","Vaccine supply chain coordination using blockchain and artificial intelligence technologies","2023","Computers and Industrial Engineering","175","","108885","","","65","10.1016/j.cie.2022.108885","https://www.scopus.com/pages/publications/85143705417?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85143705417"
"Arora M.; Sethi S.; Ahluwalia A.; Udayai K.; Aggarwal N.; Ahmad V.","Arora, Madhu (57216741295); Sethi, Surindersingh (60507971800); Ahluwalia, Ayushi (60508112600); Udayai, Kirti (58997848500); Aggarwal, Nipun (57214444711); Ahmad, Vasim (58246309600)","57216741295; 60507971800; 60508112600; 58997848500; 57214444711; 58246309600","A Multi-Objective Framework for Inventory Digitalization Using AI and IoT","2025","2025 IEEE 5th International Conference on ICT in Business Industry and Government, ICTBIG 2025","","","","","","0","10.1109/ICTBIG68706.2025.11323600","https://www.scopus.com/pages/publications/105032870196?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105032870196"
"Lüke K.-H.; Eichler G.; Royer D.","Lüke, Karl-Heinz (35409820200); Eichler, Gerald (22733579100); Royer, Denis (24403168300)","35409820200; 22733579100; 24403168300","Artificial Intelligence Application Scenarios Considering Objective and Subjective Influence Factors for Industrial Solutions in Supply Chain Management","2025","Communications in Computer and Information Science","2513 CCIS","","","94","112","1","10.1007/978-3-031-94263-1_7","https://www.scopus.com/pages/publications/105008265590?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105008265590"
"Mao H.","Mao, Hui (59926714100)","59926714100","The Optimization Strategy and Application Practice of Business Management Supply Chain Based on Artificial Intelligence Technology","2025","Procedia Computer Science","261","","","707","715","6","10.1016/j.procs.2025.04.324","https://www.scopus.com/pages/publications/105007157545?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007157545"
"Zietsman H.J.; van Vuuren J.H.","Zietsman, H. Jurie (57842216400); van Vuuren, Jan H. (6603546639)","57842216400; 6603546639","A generic decision support framework for inventory procurement planning in distribution centres","2023","Computers and Industrial Engineering","177","","109057","","","9","10.1016/j.cie.2023.109057","https://www.scopus.com/pages/publications/85148086476?origin=resultslist","Article","Final","","Scopus","2-s2.0-85148086476"
"Senthilkumar S.; Kumaresan P.; Brindha K.; Hu Y.-C.","Senthilkumar, Sudha (23986010100); Kumaresan, P. (55752662900); Brindha, K. (56461199900); Hu, Yu-Chen (24449408900)","23986010100; 55752662900; 56461199900; 24449408900","Advanced Progress in Optimized Generative Adversarial Network Applications Across Domains: A Comprehensive Survey","2026","Archives of Computational Methods in Engineering","33","1","","1467","1483","1","10.1007/s11831-025-10361-1","https://www.scopus.com/pages/publications/105015076952?origin=resultslist","Review","Final","","Scopus","2-s2.0-105015076952"
"Rahman A.; Davlyatshaev A.; Valiev G.; Niyazaliyeva M.; Umarova M.; Kodirova D.","Rahman, Abdur (59369813400); Davlyatshaev, Akmal (60585186300); Valiev, Gulam (57205366313); Niyazaliyeva, Mukhayyo (60584890600); Umarova, Munavvar (59188093400); Kodirova, Dilshodakhon (60585483300)","59369813400; 60585186300; 57205366313; 60584890600; 59188093400; 60585483300","Robotic Process Automation in Industry 4.0: Optimizing Manufacturing and Logistics","2025","2025 3rd International Conference on IoT, Communication and Automation Technology, ICICAT 2025","","","","","","0","10.1109/ICICAT68430.2025.11414689","https://www.scopus.com/pages/publications/105035838574?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105035838574"
"Agarwal S.; Madhubala P.; Singh M.K.; Arulini K.; Keerthana S.; Jenitha T.","Agarwal, Swathi (57927732200); Madhubala, P. (57192169152); Singh, Manoj Kumar (60022380600); Arulini, K. (59000548100); Keerthana, S. (60021126500); Jenitha, T. (56406436100)","57927732200; 57192169152; 60022380600; 59000548100; 60021126500; 56406436100","Association Rule Mining for Optimizing Inventory Management in Retail: Improving Stock Control and Reducing Costs Using ML Model","2025","2025 3rd International Conference on Communication, Security, and Artificial Intelligence, ICCSAI 2025","","","","855","859","2","10.1109/ICCSAI64074.2025.11064120","https://www.scopus.com/pages/publications/105012102519?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105012102519"
"Xiao Y.","Xiao, Yunxia (57960721700)","57960721700","Research on supply chain collaboration mechanism of energy materials manufacturing industry driven by artificial","2025","Microchemical Journal","219","","115789","","","2","10.1016/j.microc.2025.115789","https://www.scopus.com/pages/publications/105020267992?origin=resultslist","Article","Final","","Scopus","2-s2.0-105020267992"
"Rahman T.; Paul S.K.; Shukla N.; Sarker T.; Sarvaiya H.","Rahman, Towfique (57200034799); Paul, Sanjoy Kumar (9246007500); Shukla, Nagesh (24179276600); Sarker, Tapan (55744729400); Sarvaiya, Harsha (56341970500)","57200034799; 9246007500; 24179276600; 55744729400; 56341970500","ANALYSING THE INTEGRATION OF MARKETING STRATEGIES AND SUPPLY CHAIN READINESS","2024","Proceedings of International Conference on Computers and Industrial Engineering, CIE","2024-December","","","797","806","0","","https://www.scopus.com/pages/publications/105003260046?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105003260046"
"Zhang X.; Zhang Q.; Chang Q.","Zhang, Xiao (60075175800); Zhang, Qinyuan (59920859100); Chang, Qi (59669575700)","60075175800; 59920859100; 59669575700","Research on Upgrading and Optimizing Strategy of Dual-Channel Supply Chain of Fresh Agricultural Products Empowered by Digital Economy","2025","Learning and Analytics in Intelligent Systems","53","","","687","696","0","10.1007/978-3-031-99477-7_55","https://www.scopus.com/pages/publications/105014470672?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105014470672"
"Alzhrani R.F.; Alrasheed M.; Alzammam I.; Alruthia Y.","Alzhrani, Riyad F. (57204562645); Alrasheed, Marwan (57212252497); Alzammam, Ibrahim (60252962700); Alruthia, Yazed (57115555700)","57204562645; 57212252497; 60252962700; 57115555700","Sterile injectable products shortage in Saudi Arabia: a survey-based cross-sectional study","2025","Saudi Pharmaceutical Journal","33","6","53","","","0","10.1007/s44446-025-00053-z","https://www.scopus.com/pages/publications/105025718113?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025718113"
"Wang J.; Sun D.; Zhu W.; Lu H.","Wang, Jianzhou (56380147600); Sun, Donghuai (7403968632); Zhu, Wenjin (55574517800); Lu, Haiyan (7404842588)","56380147600; 7403968632; 55574517800; 7404842588","Application of SVM combined with mackov chain for inventory prediction in supply chain","2008","2008 International Conference on Wireless Communications, Networking and Mobile Computing, WiCOM 2008","","","4679451","","","6","10.1109/WiCom.2008.1543","https://www.scopus.com/pages/publications/58049122826?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-58049122826"
"Siswanto N.; Wangsa I.D.; Baihaqy A.R.; Suwignjo P.; Yu V.F.","Siswanto, Nurhadi (35146806500); Wangsa, Ivan Darma (57193543947); Baihaqy, Ahmed Raecky (59220877700); Suwignjo, Patdono (6508334393); Yu, Vincent F. (24330397100)","35146806500; 57193543947; 59220877700; 6508334393; 24330397100","An analytical review of blood supply chain management literature through science mapping and strategic diagrams","2025","Healthcare Analytics","8","","100433","","","1","10.1016/j.health.2025.100433","https://www.scopus.com/pages/publications/105020979942?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020979942"
"Jackson I.; Ivanov D.; Dolgui A.; Namdar J.","Jackson, Ilya (57204778322); Ivanov, Dmitry (56350235000); Dolgui, Alexandre (57201190890); Namdar, Jafar (56734557500)","57204778322; 56350235000; 57201190890; 56734557500","Generative artificial intelligence in supply chain and operations management: a capability-based framework for analysis and implementation","2024","International Journal of Production Research","62","17","","6120","6145","330","10.1080/00207543.2024.2309309","https://www.scopus.com/pages/publications/85184254709?origin=resultslist","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85184254709"
"Zhang Y.; Joneurairatana E.; Vongphantuset J.","Zhang, Yunfan (60080091200); Joneurairatana, Eakachat (57211408499); Vongphantuset, Jirawat (57218312061)","60080091200; 57211408499; 57218312061","An AI-Driven Decision Support Framework for Ergonomic Optimization in Fashion Manufacturing: Integrating Predictive Analytics and MCDM Techniques","2024","Decision Making: Applications in Management and Engineering","7","1","","786","802","1","10.31181/dmame7120241449","https://www.scopus.com/pages/publications/105015045246?origin=resultslist","Article","Final","","Scopus","2-s2.0-105015045246"
"Brandtner P.; Dakon M.","Brandtner, Patrick (55415699500); Dakon, Michael (60169151500)","55415699500; 60169151500","AI-Powered Forecasting Under Disruption: Lessons from the Covid-19 Crisis for Adaptive Supply Chains","2025","Lecture Notes in Networks and Systems","1553 LNNS","","","129","145","2","10.1007/978-3-031-99958-1_10","https://www.scopus.com/pages/publications/105021008531?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105021008531"
"Avinash B.M.; Megha B.; Potluri R.M.","Avinash, B.M. (59179380700); Megha, B. (58651056200); Potluri, Rajasekhara Mouly (55789154600)","59179380700; 58651056200; 55789154600","Integration of Blockchain Technology and Explainable Artificial Intelligence in Supply Chains: Transforming Transparency and Efficiency","2025","Explainable AI and Blockchain for Secure and Agile Supply Chains: Enhancing Transparency, Traceability, and Accountability","","","","47","62","1","10.1201/9781003497363-4","https://www.scopus.com/pages/publications/105004524801?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105004524801"
"Omer R.I.A.","Omer, Rehab Ibrahim Ahmed (60059054100)","60059054100","Enhancing supply chain efficiency and decision-making with cloud-based predictive analytics","2025","Cloud Computing's Transformative Power in Computing Environments","","","","433","465","0","10.4018/979-8-3693-9984-2.ch014","https://www.scopus.com/pages/publications/105013901900?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105013901900"
"Bhende M.; Raghavendra G.; Jadhav B.; Suriya M.; Kumar B.V.; Priyanka T.P.","Bhende, Manisha (57212697259); Raghavendra, G. (59418942400); Jadhav, Babasaheb (57798076100); Suriya, M. (57201965661); Kumar, Bura Vijay (57196374291); Priyanka, Thella Preethi (59983195400)","57212697259; 59418942400; 57798076100; 57201965661; 57196374291; 59983195400","AI-Powered Smart Supply Chains and Logistics Optimization","2025","Proceedings of the 6th International Conference on Electronics and Sustainable Communication Systems, ICESC 2025","","","","2198","2204","0","10.1109/ICESC65114.2025.11212574","https://www.scopus.com/pages/publications/105022653590?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105022653590"
"Yu R.; Liu F.; Cheng T.C.E.; Xu X.","Yu, RuiHui (57944518700); Liu, FeiXue (59772007900); Cheng, T.C.E. (60248640200); Xu, Xiaoyan (59520188800)","57944518700; 59772007900; 60248640200; 59520188800","AI-Blockchain synergy for resilient agricultural supply chains: an evolutionary game analysis","2026","International Journal of Production Research","64","8","","3244","3270","3","10.1080/00207543.2025.2604309","https://www.scopus.com/pages/publications/105025352477?origin=resultslist","Article","Final","","Scopus","2-s2.0-105025352477"
"Saltalamacchia M.; Hameed H.B.; Vigorelli L.G.","Saltalamacchia, Mattia (58493979400); Hameed, Hameem Bin (57216832204); Vigorelli, Lorenzo Giovanni (60138433500)","58493979400; 57216832204; 60138433500","Artificial Intelligence and Supply Chain revolution: A Bibliometric review of the literature","2025","Proceedings of the Summer School Francesco Turco","","","","","","0","","https://www.scopus.com/pages/publications/105018645443?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105018645443"
